Source_File,Text_ID,Content_Type,Author,Date,Text,Engagement
春锦赛14.txt,Post_06,Post,8,2025-03-23,说点什么 65 14 2 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 要允许一部分人先chill起来 DouBle_61 7 仅自己可见 You know what Im saying DouBle_61 6 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 董志豪 春锦赛 吃个欧包（见过章昊版） 14 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 0322 董志豪决赛下班 吃个欧包（见过章昊版） 168 发现 发布 通知 我 吃个欧包（见过章昊版） 关注 15 0322 春锦赛 沈加豪决赛下班 今天是超大声喊加油的努力小欧成功合照的幸福小欧 小沈同学明天见 #沈加豪 #春锦赛 #全国春季游泳锦标赛,
春锦赛14.txt,Comment_06_001,Comment,我要背书我要背书,2025-03-23山东,加豪是几点出来的哇我走之前咋都没发现他,
春锦赛14.txt,Comment_06_004,Comment,,2025-03-23山东,八点半不到,
春锦赛14.txt,Post_07,Post,8,2025-03-23,说点什么 5 收藏 5 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 0322 董志豪决赛下班 吃个欧包（见过章昊版） 168 春锦塞下班合集 lemon_xxx 42 发现 发布 通知 我 吃个欧包（见过章昊版） 关注 00000101 倍速 0322 春锦赛陈俊儿决赛下班 在俊儿即将被教练拽走之际 俊儿眼疾手快签在照片上了 （这张照片还被教练夸好帅了哈哈） 明天继续见呀心心眼R #陈俊儿 #春锦赛 #全国春季游泳锦标赛,
春锦赛14.txt,Comment_07_001,Comment,我要背书我要背书,2025-03-23山东,太羡慕了都没往我们边边上走,
春锦赛14.txt,Comment_07_004,Comment,,2025-03-23山东,今天太挤了我直接摔下两个台阶,
春锦赛14.txt,Post_08,Post,8,2025-03-23,说点什么 35 5 5 DouBle_61 小红书号：xiangdb 初心易得 始终难守 8 关注 49 粉丝 762 获赞与收藏 笔记 收藏 点赞 仅自己可见 满船清梦压星河 DouBle_61 10 仅自己可见 拼好大型活动的最后一片拼图 DouBle_61 4 仅自己可见 拿完国奖准备考研 DouBle_61 17 春锦赛23号 有没有蹲中午下班的呀#游泳 #春锦赛 椰 蓉 2 游泳春锦赛下班红毯实时播报1 解星却 53 万万没想到今天下班是这种局面 #董志豪 #覃海洋 #春锦赛 koko丶 65 0322 春锦赛 沈加豪决赛下班 吃个欧包（见过章昊版） 5 0322 春锦赛陈俊儿决赛下班 吃个欧包（见过章昊版） 35 张雨霏春锦赛下班 x12L 86 覃海洋0318第一个接到的下班 ZHZHZH 56 0323下班快乐 薄荷奶绿全糖去冰 70 0323 春锦赛沈加豪预赛下班 吃个欧包（见过章昊版） 36 323春锦赛下班合集 月亮小饼干 115 0323 王宇天决赛下班 吃个欧包（见过章昊版） 29 张翼祥23日预赛下班 发条梨 87 邱天青岛春锦赛320下班 每天睡到自然醒 372 0322 春锦赛 马福晶决赛下班 吃个欧包（见过章昊版） 3 0322 吴卿风预赛下班 吃个欧包（见过章昊版） 25 0322 郑英昊预赛下班 吃个欧包（见过章昊版） 34 0323 柯雯曦决赛下班 吃个欧包（见过章昊版） 127 0322 王长浩决赛下班 吃个欧包（见过章昊版） 42 0323 邱天预赛下班 吃个欧包（见过章昊版） 52 0322 董志豪决赛下班 吃个欧包（见过章昊版） 168 春锦塞下班合集 lemon_xxx 42 发现 发布 通知 我 x12L 关注 00010007 倍速 张雨霏春锦赛下班 好多人一起给霏霏加油了 边走边点头 挥挥手 一枪比一枪好 每天都要加油 #张雨霏 #奥运冠军 #2025年春季全国游泳锦标赛,
春锦赛14.txt,Comment_08_001,Comment,mmmm,2025-03-23山东,她晚上还有决赛吗,
春锦赛14.txt,Comment_08_003,Comment,,2025-03-23山东,有的,
春锦赛14.txt,Comment_08_006,Comment,,2025-03-23山东,下班了吗,
